habit,count,pct
"157.0,2.6,349.0,159.3; 572.1,275.7,638.3,360.0",1,0.11
"187.0,152.0,304.0,240.0; 567.9,88.6,621.1,140.3",1,0.11
"218.0,171.0,381.0,269.0; 239.0,106.0,315.0,155.0",1,0.11
"243.6,235.6,432.2,329.8; 559.0,244.0,622.0,395.0",1,0.11
"245.6,179.5,321.4,314.0; 522.4,0.3,592.0,95.5",1,0.11
"373.0,80.0,504.0,148.0; 274.6,110.7,382.4,267.3",1,0.11
"380.6,321.1,550.6,477.5; 263.0,267.0,421.0,435.0",1,0.11
"397.7,159.7,580.2,330.5; 252.0,92.0,346.0,149.0",1,0.11
"405.6,112.3,513.1,215.4; 464.1,197.7,614.9,334.3; 511.5,301.1,639.4,388.9",1,0.11
"415.0,86.5,559.2,140.2; 66.0,157.0,285.0,279.0",1,0.11
"417.7,117.1,635.5,346.0; 243.0,272.0,308.0,379.0; 438.0,230.0,494.0,291.0",1,0.11
"423.0,155.9,535.6,370.9; 238.0,99.0,314.0,160.0",1,0.11
"44.0,77.0,157.0,240.0; 253.0,96.0,346.0,147.0",1,0.11
"501.0,358.4,636.2,423.4; 476.0,103.0,634.0,206.0",1,0.11
"511.7,236.3,632.2,404.5; 445.0,199.0,503.0,245.0",1,0.11
"530.0,20.0,611.0,156.0; 227.6,128.8,290.8,208.0",1,0.11
"94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3",1,0.11
all_pick,5,0.55
attack_rat,1,0.11
bat,30,3.31
bat_and_pick,20,2.21
bat_and_pick_far,1,0.11
bat_and_rat,19,2.09
bat_fight,26,2.87
bat_fight_and_pick,1,0.11
bat_fight_and_rat,1,0.11
bat_fight_rat,1,0.11
bat_figiht,1,0.11
bat_pick,3,0.33
bat_pick_rat,1,0.11
bat_rat,1,0.11
bat_rat_pick,1,0.11
bats,7,0.77
both,4,0.44
bowl_out,1,0.11
eating,1,0.11
eating_and_bat_and_pick,1,0.11
eating_bat_pick,1,0.11
eating_bat_rat_pick,1,0.11
fast,245,27.01
fast_and_pick,1,0.11
fast_far,1,0.11
fight,2,0.22
fight_bat,1,0.11
fight_rat,2,0.22
gaze,1,0.11
no_food,4,0.44
not_sure_rat,1,0.11
other,1,0.11
other directions,1,0.11
other_bat,1,0.11
other_bats,7,0.77
other_bats/rat,1,0.11
others,5,0.55
pick,139,15.33
pick_and_all,3,0.33
pick_and_bat,8,0.88
pick_and_others,8,0.88
pick_and_rat,6,0.66
pick_bat,6,0.66
pick_bat_rat,1,0.11
pick_eating_all,1,0.11
pick_rat,4,0.44
pick_rat_and_bat,1,0.11
pick_rat_bat,1,0.11
pup_and_mon,1,0.11
rat,221,24.37
rat attack,1,0.11
rat_and_bat,14,1.54
rat_and_bat_and_pick,1,0.11
rat_and_no_food,1,0.11
rat_and_others,1,0.11
rat_and_pick,8,0.88
rat_and_rat,1,0.11
rat_attack,1,0.11
rat_bat,1,0.11
rat_bat_fight,1,0.11
rat_disappear,1,0.11
rat_pick,14,1.54
rat_pick_and_bat,1,0.11
rat_to_bat,1,0.11
,41,4.52
